tmdbId,director,actor1,actor2,actor3,description,poster_url,title,genres,movieId,text_soup
13193,Brian Dannelly,Jena Malone,Mandy Moore,Macaulay Culkin,"Mary is a good Christian girl who goes to a good Christian high school where she has good Christian friends and a perfect Christian boyfriend. Her life seems perfect, until the day that she finds out that her boyfriend may be gay — and that she’s pregnant.",https://image.tmdb.org/t/p/w500/nmf2tFTcRJZVEQ9e3mgLH5gAQYs.jpg,Saved!,Comedy|Drama,8366,"Mary is a good Christian girl who goes to a good Christian high school where she has good Christian friends and a perfect Christian boyfriend. Her life seems perfect, until the day that she finds out that her boyfriend may be gay — and that she’s pregnant. Brian Dannelly Jena Malone Comedy|Drama"
12519,John Duigan,Hugh Grant,Tara Fitzgerald,Sam Neill,"In 1930s Australia, Anglican clergyman Anthony Campion and his prim wife, Estella, are asked to visit noted painter Norman Lindsay, whose planned contribution to an international art exhibit is considered blasphemous. While Campion and Lindsay debate, Estella finds herself drawn to the three beautiful models sitting for the painter's current work, freethinking Sheela, sensual Pru and virginal Giddy.",https://image.tmdb.org/t/p/w500/bOUDHgOlxANs1KsYZEsLSjZBTkd.jpg,Sirens,Drama,537,"In 1930s Australia, Anglican clergyman Anthony Campion and his prim wife, Estella, are asked to visit noted painter Norman Lindsay, whose planned contribution to an international art exhibit is considered blasphemous. While Campion and Lindsay debate, Estella finds herself drawn to the three beautiful models sitting for the painter's current work, freethinking Sheela, sensual Pru and virginal Giddy. John Duigan Hugh Grant Drama"
9574,Les Mayfield,Robin Williams,Marcia Gay Harden,Christopher McDonald,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",https://image.tmdb.org/t/p/w500/bnKvk04icAyCO1KjqhsaEXBO9aJ.jpg,Flubber,Children|Comedy|Fantasy,1702,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air. Les Mayfield Robin Williams Children|Comedy|Fantasy"
10471,Steve Carr,Ice Cube,Mike Epps,Justin Pierce,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison.",https://image.tmdb.org/t/p/w500/dP4fYCGQZzg17ta7FvLwJVCwwt9.jpg,Next Friday,Comedy,3177,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison. Steve Carr Ice Cube Comedy"
553,Lars von Trier,Nicole Kidman,Paul Bettany,John Hurt,"When beautiful young Grace arrives in the isolated township of Dogville, the small community agrees to hide her from a gang of ruthless gangsters, and, in return, Grace agrees to do odd jobs for the townspeople.",https://image.tmdb.org/t/p/w500/lraVawavIXh5geMlVjpzCw9TGwR.jpg,Dogville,Drama|Mystery|Thriller,7371,"When beautiful young Grace arrives in the isolated township of Dogville, the small community agrees to hide her from a gang of ruthless gangsters, and, in return, Grace agrees to do odd jobs for the townspeople. Lars von Trier Nicole Kidman Drama|Mystery|Thriller"
64690,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",https://image.tmdb.org/t/p/w500/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,Drive,Crime|Drama|Film-Noir|Thriller,88129,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery. Nicolas Winding Refn Ryan Gosling Crime|Drama|Film-Noir|Thriller"
58574,Guy Ritchie,Robert Downey Jr.,Jude Law,Noomi Rapace,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",https://image.tmdb.org/t/p/w500/y1MYZkwhZK6L0Jy4YMuPktzDOfn.jpg,Sherlock Holmes: A Game of Shadows,Action|Adventure|Comedy|Crime|Mystery|Thriller,91542,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective. Guy Ritchie Robert Downey Jr. Action|Adventure|Comedy|Crime|Mystery|Thriller"
20649,Spike Lee,Harvey Keitel,John Turturro,Delroy Lindo,"Strike is a young city drug pusher under the tutelage of drug lord Rodney Little. When a night manager at a fast-food restaurant is found with four bullets in his body, Strike’s older brother turns himself in as the killer. Detective Rocco Klein doesn’t buy the story, however, setting out to find the truth, and it seems that all the fingers point toward Strike & Rodney.",https://image.tmdb.org/t/p/w500/c79uqLJleho2a7OQayfrW5Ypphf.jpg,Clockers,Crime|Drama|Mystery,159,"Strike is a young city drug pusher under the tutelage of drug lord Rodney Little. When a night manager at a fast-food restaurant is found with four bullets in his body, Strike’s older brother turns himself in as the killer. Detective Rocco Klein doesn’t buy the story, however, setting out to find the truth, and it seems that all the fingers point toward Strike & Rodney. Spike Lee Harvey Keitel Crime|Drama|Mystery"
10712,Todd Haynes,Julianne Moore,Dennis Quaid,Dennis Haysbert,"In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society.",https://image.tmdb.org/t/p/w500/9gQuvFDRPLx39smUvyafm36tp0d.jpg,Far from Heaven,Drama|Romance,5812,"In 1950s Connecticut, a housewife's life is upended by a marital crisis and mounting racial tensions in society. Todd Haynes Julianne Moore Drama|Romance"
9341,Jon Amiel,Aaron Eckhart,Hilary Swank,Delroy Lindo,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",https://image.tmdb.org/t/p/w500/iMPR3OFhKNVvJw4eZoRhf9RzfHJ.jpg,"Core, The",Action|Drama|Sci-Fi|Thriller,6264,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core. Jon Amiel Aaron Eckhart Action|Drama|Sci-Fi|Thriller"
