tmdbId,director,actor1,actor2,actor3,description,poster_url,title,genres,movieId,text_soup
10440,woody allen,woody allen,diane keaton,jerry adler,a middle aged couple suspects foul play when their neighbor s wife suddenly drops dead,https://image.tmdb.org/t/p/w500/axriUXXcBVZMZT8I9boo07Jgptw.jpg,manhattan murder mystery,comedy|mystery,492.0,manhattan murder mystery manhattan murder mystery manhattan murder mystery  comedy|mystery comedy|mystery comedy|mystery  woody allen woody allen  a middle aged couple suspects foul play when their neighbor s wife suddenly drops dead woody allen woody allen  diane keaton jerry adler
2114,hironobu sakaguchi,ming na wen,alec baldwin,ving rhames,led by a strange dream scientist aki ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet with the aid of the deep eyes squadron and her mentor dr sid aki must save the earth from its darkest hate and unleash the spirits within,https://image.tmdb.org/t/p/w500/phYEy6Am7vRlr9KzMb0wbGMHTzz.jpg,final fantasy the spirits within,adventure|animation|fantasy|sci-fi,4446.0,final fantasy the spirits within final fantasy the spirits within final fantasy the spirits within  adventure|animation|fantasy|sci-fi adventure|animation|fantasy|sci-fi adventure|animation|fantasy|sci-fi  hironobu sakaguchi hironobu sakaguchi  led by a strange dream scientist aki ross struggles to collect the eight spirits in the hope of creating a force powerful enough to protect the planet with the aid of the deep eyes squadron and her mentor dr sid aki must save the earth from its darkest hate and unleash the spirits within ming na wen ming na wen  alec baldwin ving rhames
134,joel coen,george clooney,john turturro,tim blake nelson,in the deep south during the 1930s three escaped convicts search for hidden treasure while a relentless lawman pursues them,https://image.tmdb.org/t/p/w500/s9foMAcLg8GEzzQzer04qOGdD1k.jpg,o brother where art thou,adventure|comedy|crime,4027.0,o brother where art thou o brother where art thou o brother where art thou  adventure|comedy|crime adventure|comedy|crime adventure|comedy|crime  joel coen joel coen  in the deep south during the 1930s three escaped convicts search for hidden treasure while a relentless lawman pursues them george clooney george clooney  john turturro tim blake nelson
11969,george p cosmatos,kurt russell,val kilmer,sam elliott,legendary marshal wyatt earp now a weary gunfighter joins his brothers morgan and virgil to pursue their collective fortune in the thriving mining town of tombstone but earp is forced to don a badge again and get help from his notorious pal doc holliday when a gang of renegade brigands and rustlers begins terrorizing the town,https://image.tmdb.org/t/p/w500/f6Lb4bpUW2AJW42Hpnix2533RKU.jpg,tombstone,action|drama|western,553.0,tombstone tombstone tombstone  action|drama|western action|drama|western action|drama|western  george p cosmatos george p cosmatos  legendary marshal wyatt earp now a weary gunfighter joins his brothers morgan and virgil to pursue their collective fortune in the thriving mining town of tombstone but earp is forced to don a badge again and get help from his notorious pal doc holliday when a gang of renegade brigands and rustlers begins terrorizing the town kurt russell kurt russell  val kilmer sam elliott
12133,adam mckay,will ferrell,john c reilly,richard jenkins,brennan huff and dale doback might be grown men but that doesn t stop them from living at home and turning into jealous competitive stepbrothers when their single parents marry brennan s constant competition with dale strains his mom s marriage to dale s dad leaving everyone to wonder whether they ll ever see eye to eye,https://image.tmdb.org/t/p/w500/wRR6U3K3v2iQsG3uw7ehz1ctRyT.jpg,step brothers,comedy,60756.0,step brothers step brothers step brothers  comedy comedy comedy  adam mckay adam mckay  brennan huff and dale doback might be grown men but that doesn t stop them from living at home and turning into jealous competitive stepbrothers when their single parents marry brennan s constant competition with dale strains his mom s marriage to dale s dad leaving everyone to wonder whether they ll ever see eye to eye will ferrell will ferrell  john c reilly richard jenkins
11011,donald petrie,macaulay culkin,john larroquette,edward herrmann,billionaire heir richie rich has it all including reggie jackson as a batting coach and claudia schiffer as a personal trainer but no playmates what s more scoundrel laurence van dough is scheming to take over the family empire uh oh enter faithful butler cadbury to save the day,https://image.tmdb.org/t/p/w500/qgGh5d0IHAZRlHIdFS3XWVygumR.jpg,richie rich,children|comedy,374.0,richie rich richie rich richie rich  children|comedy children|comedy children|comedy  donald petrie donald petrie  billionaire heir richie rich has it all including reggie jackson as a batting coach and claudia schiffer as a personal trainer but no playmates what s more scoundrel laurence van dough is scheming to take over the family empire uh oh enter faithful butler cadbury to save the day macaulay culkin macaulay culkin  john larroquette edward herrmann
24137,oliver parker,cate blanchett,minnie driver,rupert everett,sir robert chiltern is a successful government minister well off and with a loving wife all this is threatened when mrs cheveley appears in london with damning evidence of a past misdeed sir robert turns for help to his friend lord goring an apparently idle philanderer and the despair of his father goring knows the lady of old and for him takes the whole thing pretty seriously,https://image.tmdb.org/t/p/w500/Aac3Kw7qAszSotkTNle4bvu3uuH.jpg,ideal husband an,comedy|romance,2690.0,ideal husband an ideal husband an ideal husband an  comedy|romance comedy|romance comedy|romance  oliver parker oliver parker  sir robert chiltern is a successful government minister well off and with a loving wife all this is threatened when mrs cheveley appears in london with damning evidence of a past misdeed sir robert turns for help to his friend lord goring an apparently idle philanderer and the despair of his father goring knows the lady of old and for him takes the whole thing pretty seriously cate blanchett cate blanchett  minnie driver rupert everett
9705,dominic sena,john travolta,hugh jackman,halle berry,rogue agent gabriel shear is determined to get his mitts on 9 billion stashed in a secret drug enforcement administration account he wants the cash to fight terrorism but lacks the computer skills necessary to hack into the government mainframe enter stanley jobson a n er do well encryption expert who can log into anything,https://image.tmdb.org/t/p/w500/mM6h4jMqC4q5IaFgBIGKQDLnRU.jpg,swordfish,action|crime|drama,4344.0,swordfish swordfish swordfish  action|crime|drama action|crime|drama action|crime|drama  dominic sena dominic sena  rogue agent gabriel shear is determined to get his mitts on 9 billion stashed in a secret drug enforcement administration account he wants the cash to fight terrorism but lacks the computer skills necessary to hack into the government mainframe enter stanley jobson a n er do well encryption expert who can log into anything john travolta john travolta  hugh jackman halle berry
1577,alexander witt,milla jovovich,sienna guillory,oded fehr,as the city is locked down under quarantine alice finds out that the people that died from the previous incident at the umbrella corporation have turned into zombies she then joins a small band of elite soldiers who are enlisted to rescue the missing daughter of the creator of the mutating t virus once lack of luck and resources happen they begin to wage an exhilarating battle to survive and escape before the umbrella corporation erases its experiment from the face of the earth,https://image.tmdb.org/t/p/w500/yzNQSLlZb7NAkA4C5uADfNDJ7hm.jpg,resident evil apocalypse,action|horror|sci-fi|thriller,8861.0,resident evil apocalypse resident evil apocalypse resident evil apocalypse  action|horror|sci-fi|thriller action|horror|sci-fi|thriller action|horror|sci-fi|thriller  alexander witt alexander witt  as the city is locked down under quarantine alice finds out that the people that died from the previous incident at the umbrella corporation have turned into zombies she then joins a small band of elite soldiers who are enlisted to rescue the missing daughter of the creator of the mutating t virus once lack of luck and resources happen they begin to wage an exhilarating battle to survive and escape before the umbrella corporation erases its experiment from the face of the earth milla jovovich milla jovovich  sienna guillory oded fehr
1245,james ivory,anthony hopkins,emma thompson,james fox,a rule bound head butler s world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post wwi britain the possibility of romance and his master s cultivation of ties with the nazi cause challenge his carefully maintained veneer of servitude,https://image.tmdb.org/t/p/w500/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg,remains of the day the,drama|romance,515.0,remains of the day the remains of the day the remains of the day the  drama|romance drama|romance drama|romance  james ivory james ivory  a rule bound head butler s world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post wwi britain the possibility of romance and his master s cultivation of ties with the nazi cause challenge his carefully maintained veneer of servitude anthony hopkins anthony hopkins  emma thompson james fox
